video_id,author,comment_text,like_count,published_at,cyberbullying
CaWh022KuX4,@midielesoares322,"Caju combinando a roupa,parte d baixo branco e de cima preto",8,2025-04-15T14:55:03Z,1
puplAelQdKs,@SamuelLevi-q4k,FESTA NA FAVELA😂😂😂😂😂😂😂😂😂🎉🎉🎉🎉🎉,1,2025-03-27T23:24:38Z,1
nTcRHtcaE10,@nikirotine,Se o calvo sofrer denovo vou chorar,2,2025-03-20T15:55:33Z,1
nTcRHtcaE10,@CarlosFerreira-br9gd,Já tá na cara que esses dois aí vão namorar que agora de certo que não machuque nosso calvo 😢❤,1,2025-03-13T15:09:31Z,1
nTcRHtcaE10,@Rayssa-l2m,"Aeeeeeee casal ,calvo e Gabi finalmente voltou ❤🎉🎉🎉",0,2025-03-13T03:33:47Z,1
nTcRHtcaE10,@iurygabriel9908,"Não tô afim de ver o calvo vacilão sofrer dnv n, a Gaby e o golpe",0,2025-03-12T16:11:47Z,1
nTcRHtcaE10,@arthurribeiro6884,VAMO Calvo Agora Vai tenho fé Eu Shipo muito esses Dois Formam um belo Casal ❤❤❤🫶🫶🫶,0,2025-03-12T15:21:31Z,1
nTcRHtcaE10,@Mateus-2245,Nmrl eu não tô a fim de ver o calvo sofrendo de novo se por caso eles voltarem,162,2025-03-12T14:28:21Z,1
