video_id,author,comment_text,like_count,published_at,cyberbullying,classificacao
Pp6FwS8iFms,@StevaoFerreira383,O zanella é muito burro deu essa bobeira quase voltou na estaca zero vai ginella bora carai,0.0,2024-07-25T14:35:27Z,1,toxic
Pp6FwS8iFms,@NicholasOrtigosa,Caramba Zaza arruma esse cabelo  tá calvo hein 😂,1.0,2024-07-25T14:23:55Z,1,not_toxic
Pp6FwS8iFms,@brunadacruzcabral9471,Zazá para de ser burro vc às vezes tem que escutar eles e parar de ser o cria master,0.0,2024-07-25T14:13:13Z,1,toxic
DJNZza61z1U,@MatheusCaputo-xt2ye,Se ferrou burro 😂😂😂🎉,0.0,2025-04-11T22:26:30Z,1,not_toxic
DJNZza61z1U,@leticiamvvidal4817,Pq você n acelerou burro,0.0,2024-09-01T21:16:04Z,1,toxic
DJNZza61z1U,@ZisaAparecidadeMattos,Meu Deus coitado dele mas para que também ele foi bater no carro foi burro né,0.0,2024-08-04T01:46:22Z,1,toxic
DJNZza61z1U,@miguelitinho10,Bicho burro fecha a chanela,0.0,2024-07-31T21:43:39Z,1,toxic
DJNZza61z1U,@RafaelMacielferraz,Só pode ser corno,0.0,2024-07-30T01:37:02Z,1,toxic
DJNZza61z1U,@Bernado-lb1xo,Vc continua babaca,0.0,2024-07-21T23:10:20Z,1,not_toxic
DJNZza61z1U,@gustavosk801,"Quem é Jesus?<br><br>Para o cego, é a luz.<br>Para o faminto, é o pão.<br>Para o sedento, é a fonte de água viva.<br>Para o morto, é a vida.<br>Para o enfermo, é a cura.<br>Para o prisioneiro, é a liberdade.<br>Para o solitário, é o companheiro.<br>Para o viajante, é o caminho.<br>Para o sábio, é a sabedoria.<br>Para a medicina, é o médico dos médicos.<br>Para o réu, é o advogado.<br>Para o advogado, é o Juiz.<br>Para o Juiz, é a justiça.<br>Para o cansado, é o alívio.<br>Para o pedreiro, é a pedra principal.<br>Para o jardineiro, é a rosa de Sharon.<br>Para o triste, é a alegria.<br>Para o leitor, é a palavra.<br>Para o pobre, é o tesouro.<br>Para o devedor, é o perdão.<br><br>Para mim, Ele é TUDO!",0.0,2024-07-19T03:15:47Z,1,toxic
DJNZza61z1U,@JoseAlves-us3kp,🤣 indo para o céu brincar lá desgraçado bom,0.0,2024-07-15T03:40:12Z,1,not_toxic
DJNZza61z1U,@FraceliErnestodelima,Fala por que o cara não acelerou que burro,0.0,2024-07-14T19:32:43Z,1,toxic
DJNZza61z1U,@AndreiacfCristina,O que está dirigindo v*<b>***********</b> vagabundo,0.0,2024-07-14T15:51:19Z,1,toxic
DJNZza61z1U,@ALEX-s8w2z,O cara partiu-lhe a perna de  certeza e tem um amigo estúpido mas também quem lhe mandou bater no outro que lhe bateu,0.0,2024-07-14T10:00:47Z,1,toxic
DJNZza61z1U,@AnaMaria-i7o7b,Traidor kkkkkkk😂,0.0,2024-07-13T11:16:32Z,1,not_toxic
DJNZza61z1U,@LuanHenrique-gs8yb,E o corno e burro ao mesmo tempo 😂😂😂,0.0,2024-07-12T22:32:56Z,1,not_toxic
DJNZza61z1U,@yannpompom,P esse cara ele é burro po,0.0,2024-07-12T19:50:49Z,1,toxic
DJNZza61z1U,@Pinguim974,Otário se deu mal KKKKK,0.0,2024-07-12T17:17:10Z,1,toxic
DJNZza61z1U,@joaoluca736,Vagabundo por bateu no Rezende,0.0,2024-07-12T00:15:22Z,1,toxic
DJNZza61z1U,@marcialopes5869,Ô desgraçada era para correr porque a gente não ser Pegado nossa vagabunda,0.0,2024-07-11T23:04:06Z,1,toxic
DJNZza61z1U,@cremildestavares5528,O bicho não deveria fazer isso mas o bicho é muito burro muito burro mesmo mesmo mesmo mesmo mesmo mesmo e,0.0,2024-07-10T21:54:45Z,1,toxic
DJNZza61z1U,@mentiras657,ele foi burro só te fechado as janelas,0.0,2024-07-10T16:30:53Z,1,toxic
DJNZza61z1U,@cristinadelbosco1362,Hahaha que burro,0.0,2024-07-09T22:48:06Z,1,not_toxic
DJNZza61z1U,@Cortesmag,Puta q pá***😅😢😂😂😂😂,0.0,2024-07-09T22:40:31Z,1,toxic
DJNZza61z1U,@EnzoPereira-gq6pc,Que bicho miserável,0.0,2024-07-09T00:12:02Z,1,not_toxic
DJNZza61z1U,@MarinaLimeira-qv5ey,Era só abaixar o vidro seu burro,0.0,2024-07-08T23:52:21Z,1,toxic
DJNZza61z1U,@clashcomcaua658,Seus burro ele tá pisando no chão e não no rezende e montagem,0.0,2024-07-08T01:38:24Z,1,toxic
DJNZza61z1U,@PedroRavy-lx5oq,Para de imitar o mrbeast porra viado,0.0,2024-07-03T19:31:27Z,1,toxic
Kjp3pXMZfF8,@Katiau.exe77,Se eu fosse o zaza eu nem ligava mais pra essa babaca 🥱 falo mesmo!,0.0,2024-07-12T02:28:39Z,1,toxic
Kjp3pXMZfF8,@rafaelcicerodacunha,Fora gi vagabunda Zanella merece respeito,1.0,2024-07-12T00:59:58Z,1,toxic
Kjp3pXMZfF8,@pedronascimentoamado230,Essa gi é muito babaca,0.0,2024-07-11T22:13:00Z,1,toxic
Kjp3pXMZfF8,@luanapereira5314,menina nojenta essa Gi,1.0,2024-07-11T16:27:14Z,1,not_toxic
Kjp3pXMZfF8,@waltergourgel3802,Zanellaa esquece essa burra,0.0,2024-07-11T16:14:54Z,1,not_toxic
Kjp3pXMZfF8,@waltergourgel3802,Essa é muito burra,0.0,2024-07-11T16:14:34Z,1,not_toxic
Kjp3pXMZfF8,@MariaSantos-qu4tx,Aff cara essa menina é muito nojenta ela fica com meio mundo em festa e n quis dar um salinha da pessoa que gosta dele de vrdd,0.0,2024-07-11T14:32:54Z,1,toxic
SZqT-ctRSec,@LucasEduardodeLimaMoysesMoyses,Ela é muito otária essa gi,1.0,2024-10-09T21:24:21Z,1,toxic
SZqT-ctRSec,@RafaelMarcelo-g4v,"A Gi está agindo igual uma piranha recalcada !!! 😢 Pelo amor de Deus vei cresce ...  Mlq nunca te respeitou, agora vai ficar aí igual uma cadelinha se lamentando! Pqp tá podre isso !!",2.0,2024-10-09T17:16:38Z,1,toxic
SZqT-ctRSec,@ElenildoSouza-h2z,Você não ganha Zener babaca,1.0,2024-10-09T16:37:39Z,1,toxic
SZqT-ctRSec,@Mila_santosvlog,N superou mds postando aquele vídeo estúpido,0.0,2024-10-09T15:28:00Z,1,toxic
SZqT-ctRSec,@mendoncadigital,"a Gi ja ta parecendo a Gabi só pisando na bola depois vai ficar sozinha se arrependendo e só vai encontrar vagabundo vai ver kkk<a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a> os caras tem que pensar 10 vezes antes de querer namorar uma menina dessa turma <a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a> e a Gi se o pessoal é inteligente ela usou ou tentou usar o video do pedro pra mandar recado pro zanella só pode, que ela nao superou ele. ta evidente isso mais ta muito errada de fazer isso nessa ocasiao, só coloca o pedro em uma posiçao desconfortavel ja outra vez ele quer ajudar ela sair dessa  depre faz o passeio e ela joga tudo no lixo com o comportamento dela, coitado do pedro se mete em cada uma com essa cambada kkkk<a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a>",0.0,2024-10-09T14:33:13Z,1,toxic
NDCkMcNJFt0,@kauanesilvaa17,ai essa menina é tão nojenta kkkkk affff boba,0.0,2024-07-14T17:17:34Z,1,toxic
NDCkMcNJFt0,@guilhermeabravanel9,"Zanella é burro em vez começa a ignorar gi tmb , varias mina mais gata que ela ai e ele fica se humilhando",0.0,2024-07-13T13:56:45Z,1,toxic
NDCkMcNJFt0,@douglasalvz,"Está muito massa ver o Ian e a Gabi juntos, desculpa gabi pelas criticas um tempo atrás quando vc &quot;humilhou o nosso calvo&quot; kkkkkkkk",11.0,2024-07-12T17:28:27Z,1,toxic
NDCkMcNJFt0,@douglasalvz,"HUMILHAÇÃO DA DESGRAÇA! KKKKKKK É por isso que eu não corro atrás de menina nenhuma, nem fico me fazendo de cachorro pra menina difícil, se quiser venha até mim, pq n é só assim n &quot;ah a hora q eu quiser ficar com ele eu fico&quot; o homem tem q parar de ser burro e se valorizar tbm iguais essas meninas fazem.",1.0,2024-07-12T17:12:36Z,1,toxic
NDCkMcNJFt0,@nayramendes8054,Zanella tu e burro  essa doida só te desprezando tu larga de se besta deixa ela pra lá,1.0,2024-07-12T16:25:01Z,1,toxic
NDCkMcNJFt0,@francykasper7243,Tem que tira Essa GI MUITO nojenta ta estragando os vidio,2.0,2024-07-12T16:03:39Z,1,toxic
NDCkMcNJFt0,@luanAzevedoferreiradaSil-st3sc,Muito burro este Zanella🤦🤦🤦,0.0,2024-07-12T14:18:54Z,1,not_toxic
NDCkMcNJFt0,@Gustavo13h,Opa Pedro o zanella é muito burro chegar na gi mó marrento manda ele para com isso e chegar na menina dboa,0.0,2024-07-12T14:02:49Z,1,toxic
bKY_IGIBMQY,@Lucasefdvxv,Ela é burra,0.0,2024-12-11T03:34:39Z,1,not_toxic
bKY_IGIBMQY,@HugoHenrique-q9q,Vini vagabundo,0.0,2024-10-25T13:33:54Z,1,toxic
bKY_IGIBMQY,@ZANELLAX_OFC,O vini é cria <br>Nós crias não tem um relacionamento q a gnt não traiu <br>Entendam gi é corna assim como todas as mulheres q se envolvem com nós crias <br>Eu concordo com o vini trair a gi,0.0,2024-10-25T01:28:55Z,1,toxic
bKY_IGIBMQY,@pulgalora3596,Depois é o Zanella que é um babaca,0.0,2024-10-24T20:50:48Z,1,toxic
bKY_IGIBMQY,@lucasaparecidodeoliveiraol467,Essa Giovanna é corna mesma kkk af,0.0,2024-10-24T18:23:51Z,1,toxic
bKY_IGIBMQY,@ph7kzin,CORNA KKKKKK,0.0,2024-10-24T18:07:51Z,1,toxic
bKY_IGIBMQY,@lucasaparecidodeoliveiraol467,GI corna kkkk,0.0,2024-10-24T17:59:23Z,1,toxic
bKY_IGIBMQY,@raulitoxavieri7512,Eu sinto dó da Gi uma menina tão doce e bonita fica quebrando o coração por causa de macho poxa Gi da valor a quem te dar esse Vini é um traidor logo agr q eu tava gostando ele😠😕❤,0.0,2024-10-24T16:41:38Z,1,toxic
bKY_IGIBMQY,@MariaMadalena-nv7pf,A Gi foi corna duas vezes,0.0,2024-10-24T14:51:18Z,1,toxic
_sHMAG-eKg8,@Bronklens,o ian e calvo com 23... kkkkkkkkkkkkkkkkkkkkkkkkkk,0.0,2024-08-22T13:50:27Z,1,toxic
_sHMAG-eKg8,@marcosrobertorodrigues2743,"O CALVO complica e muito. Fecha essa boca, ninguém pediu a sua opinião.",0.0,2024-08-21T22:32:54Z,1,toxic
_sHMAG-eKg8,@LeonardoBatista-iz2mn,O  Ian com 23  anos já é calvo  ksks slk 😂😂,1.0,2024-08-21T18:00:41Z,1,toxic
_sHMAG-eKg8,@davigoncalo2390,"Caraca o careca vacilão eh calvo mesmo e eu nem sabia vai no minuto <a href=""https://www.youtube.com/watch?v=_sHMAG-eKg8&amp;t=439"">7:19</a>",2.0,2024-08-21T16:51:48Z,1,not_toxic
_sHMAG-eKg8,@dentedeleite4266,O Ian agiu que nem um babaca😮,1.0,2024-08-21T16:29:28Z,1,not_toxic
_sHMAG-eKg8,@MarcellaVicente-v4l,ZA perdoa o Calvo,1.0,2024-08-21T14:27:49Z,1,toxic
