video_id,author,comment_text,like_count,published_at,cyberbullying,classificacao
nTcRHtcaE10,@nikirotine,Se o calvo sofrer denovo vou chorar,2.0,2025-03-20T15:55:33Z,1,toxic
nTcRHtcaE10,@CarlosFerreira-br9gd,Já tá na cara que esses dois aí vão namorar que agora de certo que não machuque nosso calvo 😢❤,1.0,2025-03-13T15:09:31Z,1,toxic
nTcRHtcaE10,@Rayssa-l2m,"Aeeeeeee casal ,calvo e Gabi finalmente voltou ❤🎉🎉🎉",0.0,2025-03-13T03:33:47Z,1,not_toxic
nTcRHtcaE10,@iurygabriel9908,"Não tô afim de ver o calvo vacilão sofrer dnv n, a Gaby e o golpe",0.0,2025-03-12T16:11:47Z,1,toxic
nTcRHtcaE10,@arthurribeiro6884,VAMO Calvo Agora Vai tenho fé Eu Shipo muito esses Dois Formam um belo Casal ❤❤❤🫶🫶🫶,0.0,2025-03-12T15:21:31Z,1,toxic
nTcRHtcaE10,@Mateus-2245,Nmrl eu não tô a fim de ver o calvo sofrendo de novo se por caso eles voltarem,162.0,2025-03-12T14:28:21Z,1,toxic
9TbzIKWtvOc,@enrickdasilva6398,A vai pa puta que paril rezende  ta precisando de Adsense,0.0,2024-08-08T23:14:37Z,1,toxic
9TbzIKWtvOc,@EmillyCavalcante452,Ei rezende agora falta o calvo e gabi😊 que concorda clica no like,0.0,2024-08-08T21:43:06Z,1,toxic
9TbzIKWtvOc,@renanbarbosa3411,Miserável kkkkkkkk,0.0,2024-08-08T20:10:47Z,1,toxic
9TbzIKWtvOc,@Gzinxit07,"Cara desgraçado ksksksksks,deixou pra amanhã 😂",0.0,2024-08-08T18:28:29Z,1,toxic
9TbzIKWtvOc,@mendoncadigital,"na moral eu to com raiva por isso vou falar isso !! o rezende ta preguiso,vagabundo sem nocao por isso só posta 1 video por dia!!!!! faleiiii <a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a>",1.0,2024-08-08T17:26:19Z,1,toxic
9TbzIKWtvOc,@USER7778-q3x,Rezende miserável 😂❤❤,0.0,2024-08-08T17:03:03Z,1,not_toxic
9TbzIKWtvOc,@JOAOMIGUEL-vy4lf,Desgraçado kkkkkkk,0.0,2024-08-08T15:34:34Z,1,toxic
9TbzIKWtvOc,@LeticiaArruda-t5w,Puta que parou,0.0,2024-08-08T15:29:37Z,1,toxic
9TbzIKWtvOc,@homemarvore74,Puta que me pariu meu Deus do céu beija logo ❤❤❤,0.0,2024-08-08T15:00:23Z,1,toxic
9TbzIKWtvOc,@ItaloFerreira-ej4wh,Aahhh corno no finalzinho 😢,0.0,2024-08-08T14:20:57Z,1,not_toxic
9TbzIKWtvOc,@Alexiaquirinox,AAHHAAHHAH PUTA QUE PARIU VEY EU TENHO ANSIEDADEE,1.0,2024-08-08T14:13:50Z,1,toxic
9TbzIKWtvOc,@GabrielAlves-1904,Haeeeeeeeeeeeeeeeeeeeeee<br><br>Dá like se querem ver o zaza a pedir a gi em namoro <br>(Nâo é obrigatório não sou mendigo de like),0.0,2024-08-08T14:10:24Z,1,toxic
s_OMCz5MXnU,@nogayeniang9119,Eu sou africano mas adoro esse casal,0.0,2024-10-14T00:00:27Z,1,not_toxic
Pp6FwS8iFms,@craudimadr8664,Ela si acha demais e ele fica parecendo um babaca atrás dela.,0.0,2024-07-26T02:38:54Z,1,toxic
Pp6FwS8iFms,@Reithu3,"A conversa finalizada e o cara quer continuar, ele é mt burro",0.0,2024-07-26T01:29:07Z,1,not_toxic
Pp6FwS8iFms,@henzoraphael39,"Zanella para de ser burro e escuta o Pedro, Ian e João",0.0,2024-07-25T23:32:03Z,1,not_toxic
Pp6FwS8iFms,@luishenriqueklein9405,ela nem ligava pra ele falou a vdd ficou puta com ele porque,0.0,2024-07-25T16:53:21Z,1,toxic
Pp6FwS8iFms,@davifelipenunes7451,"É MUITO BURRO ZANELLAA,ESCUTA O  REZENDE!!!!!!!!!!",0.0,2024-07-25T16:51:37Z,1,toxic
Pp6FwS8iFms,@samuelbsa8420,Zanella seis que entender que ela não gosta que tu sejas queria porque isso é estúpido,0.0,2024-07-25T14:55:10Z,1,toxic
Pp6FwS8iFms,@samuelbsa8420,Tens uma menina tanto da hora e não paravas De conquistar ela e agora fizeste isso Estúpido,0.0,2024-07-25T14:49:52Z,1,toxic
Pp6FwS8iFms,@samuelbsa8420,Zanella para de ser estúpido e não te armes é porque eu Sou cria,0.0,2024-07-25T14:48:52Z,1,toxic
